Gene Set	Score	0.95 MoE	P-Value	FDR
IPA_FOXO4_UP	0.35177148379992934		0.19232053422370618	0.9581188118811881
IPA_IRF9_DN	0.35012589556129964		0.19365609348914858	0.9574826560951437
IPA_SMARCC1_DN	0.349679247279162		0.1938230383973289	0.9574826560951437
IPA_PDX1_UP	0.3474501393135901		0.19607679465776293	0.9565044687189672
IPA_BDP1_DN	0.3431852065324347		0.19924874791318864	0.9537773359840955
IPA_TBP_DN	0.3431852065324347		0.19924874791318864	0.9537773359840955
IPA_IRF2_UP	0.3410948188611523		0.2005008347245409	0.9537773359840955
IPA_TP53BP2_DN	0.3408959593271041		0.20108514190317195	0.9537773359840955
IPA_BHLHE22_UP	0.3387541420723508		0.2023372287145242	0.9537773359840955
IPA_REST_DN	0.33816316612865205		0.20292153589315526	0.9537773359840955
IPA_MYOD1_DN	0.3371582605448408		0.203338898163606	0.9537773359840955
IPA_TBX21_DN	0.33517128126205603		0.20492487479131888	0.9535535535535535
IPA_H2AFX_DN	0.3344701162809344		0.20534223706176963	0.9535535535535535
IPA_JUNB_DN	0.32953808546495666		0.20834724540901503	0.9513540621865597
IPA_NRL_DN	0.3280250134334169		0.20984974958263772	0.9505020080321285
IPA_SIN3A_DN	0.32474450868357535		0.21235392320534224	0.9484422110552764
IPA_NR1I2_UP	0.32322335821016385		0.21318864774624374	0.9483903420523139
IPA_RPA2_UP	0.32299301997747903		0.21343906510851418	0.9483903420523139
IPA_SIX3_DN	0.32287838965875476		0.21368948247078465	0.9483903420523139
IPA_YWHAE_UP	0.32103204466414464		0.2152754590984975	0.9483903420523139
IPA_NOBOX_UP	0.3181612531807631		0.2182804674457429	0.9460606060606059
IPA_JARID2_UP	0.31805982131173227		0.2184474123539232	0.9460606060606059
IPA_ASF1A_UP	0.31805982131173227		0.2184474123539232	0.9460606060606059
IPA_MYBL2_DN	0.3148083073594295		0.22136894824707845	0.9451874366767984
IPA_HNRNPK_DN	0.3139949454801401		0.22220367278797998	0.945131845841785
IPA_TBX5_DN	0.3128547322960511		0.22295492487479132	0.945131845841785
IPA_SOX9_UP	0.3128524400450315		0.22303839732888148	0.945131845841785
IPA_KLF9_DN	0.310849040840372		0.22454090150250416	0.945131845841785
IPA_HNF4A_UP	0.3105740974912339		0.22462437395659432	0.945131845841785
IPA_TEAD2_UP	0.3102902638305232		0.22470784641068448	0.945131845841785
IPA_EBF1_UP	0.3084677143337762		0.22570951585976629	0.945131845841785
IPA_KDM1A_DN	0.30714306694671994		0.22721202003338897	0.945131845841785
IPA_TBX3_UP	0.30495783265559345		0.22963272120200334	0.9437627811860941
IPA_IRF1_DN	0.3042722560150661		0.23063439065108515	0.9435005117707267
IPA_FIGLA_DN	0.3040884802609278		0.23071786310517528	0.9435005117707267
IPA_CEBPB_UP	0.30265387490176393		0.23163606010016694	0.9435005117707267
IPA_ATF4_DN	0.298455801492257		0.2353923205342237	0.9405544147843943
IPA_CDC73_UP	0.2976921380572042		0.23614357262103505	0.9405544147843943
IPA_RXRA_DN	0.2966410778155546		0.2375626043405676	0.9398148148148148
IPA_NFE2L3_DN	0.28687745192835284		0.2451585976627713	0.9314109165808445
IPA_HIST1H1A_DN	0.28538951937954066		0.246661101836394	0.9305154639175257
IPA_THRA_DN	0.2833823152962283		0.24824707846410685	0.9295149638802889
IPA_NFAT5_DN	0.28305555484943135		0.24849749582637728	0.9295149638802889
IPA_NFYA_DN	0.28305555484943135		0.24849749582637728	0.9295149638802889
IPA_TCF7L2_DN	0.28106198625931833		0.24908180300500835	0.9295149638802889
IPA_STAT4_UP	0.28066325909875006		0.2494991652754591	0.9295149638802889
IPA_SKP2_DN	0.2802567232846398		0.25025041736227044	0.9295149638802889
IPA_ADAR_UP	0.27759318999990956		0.25208681135225375	0.9295149638802889
IPA_KLF8_DN	0.2715896579258905		0.25559265442404006	0.9271309771309771
